INFO  - 2016-05-13 10:57:59.023; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/, dataDir=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/
INFO  - 2016-05-13 10:57:59.026; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-05-13 10:57:59.039; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-05-13 10:57:59.039; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-05-13 10:57:59.059; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data
INFO  - 2016-05-13 10:57:59.066; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2016-05-13 10:57:59.067; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-05-13 10:57:59.089; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2016-05-13 10:57:59.143; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/arran/PycharmProjects/Django/MyBlog/blog/solr/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-05-13 10:57:59.144; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-05-13 10:57:59.148; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-05-13 10:57:59.148; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-05-13 10:57:59.149; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-05-13 10:57:59.151; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-05-13 10:57:59.152; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-05-13 10:57:59.259; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-05-13 10:57:59.274; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-05-13 10:57:59.275; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-05-13 10:57:59.275; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-05-13 10:57:59.275; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-05-13 10:57:59.280; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.280; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.282; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-05-13 10:57:59.282; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.283; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-05-13 10:57:59.284; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-05-13 10:57:59.284; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-05-13 10:57:59.284; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-05-13 10:57:59.285; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-05-13 10:57:59.286; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-05-13 10:57:59.286; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-05-13 10:57:59.286; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-05-13 10:57:59.286; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-05-13 10:57:59.288; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-05-13 10:57:59.292; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-05-13 10:57:59.295; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-05-13 10:57:59.313; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-05-13 10:57:59.313; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.313; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-05-13 10:57:59.314; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
